State,adm1_code,EstPopOver18,MurderRate,AbductionRate,CrimeRate,SecPercep
Aguascalientes,MEX-2717,1,24.9,0.2,45.3,49.7
Baja California,MEX-2706,2.8,93.5,0.4,31.2,68.5
Baja California Sur,MEX-2707,0.6,18.5,0.2,25.7,33.4
Campeche,MEX-2722,0.8,27.0,0.3,31.8,61.6
Chiapas,MEX-2735,4.3,29.7,0.4,16.0,68.1
Chihuahua,MEX-2709,2.9,71.4,1.7,29.1,78.1
Coahuila,MEX-2708,2.4,17.0,0.1,24.7,44.1
Colima,MEX-2718,0.6,156.0,0.8,28.5,80.9
Distrito Federal,MEX-2727,6.9,21.3,0.5,52.7,80.1
Durango,MEX-2710,1.3,22.4,0.1,18.2,51.7
Guanajuato,MEX-2728,4.7,77.4,0.1,26.6,82.9
Guerrero,MEX-2729,2.7,67.5,0.5,24.0,76.7
Hidalgo,MEX-2730,2.3,16.5,0.7,26.9,63
Jalisco,MEX-2719,6.4,39.0,0.3,31.7,78.7
México,MEX-2731,12.8,29.3,0.5,51.9,88
Michoacán,MEX-2720,3.6,74.4,0.6,19.7,80.8
Morelos,MEX-2732,1.5,106.3,2.1,36.3,87
Nayarit,MEX-2721,1,36.6,0.5,23.6,46.2
Nuevo León,MEX-2714,4.4,44.2,1.9,28.2,67
Oaxaca,MEX-2723,3.1,66.5,0.8,18.6,74.4
Puebla,MEX-2724,4.9,25.1,0.3,38.6,78.3
Querétaro,MEX-2733,1.8,29.9,0.7,40.8,54.5
Quintana Roo,MEX-2736,1.4,114.0,0.3,30.3,78.1
San Luis Potosí,MEX-2715,2.1,35.2,0.4,31.8,76.5
Sinaloa,MEX-2711,2.3,50.0,0.2,30.0,62.5
Sonora,MEX-2712,2.2,63.0,0.7,37.6,76.2
Tabasco,MEX-2725,1.9,37.8,0.6,38.0,78.2
Tamaulipas,MEX-2716,2.7,41.2,0.6,25.1,74.9
Tlaxcala,MEX-2726,1,14.1,0.2,28.6,62.4
Veracruz,MEX-2734,6.1,29.7,0.5,20.3,81.4
Yucatán,MEX-2737,1.7,9.7,0.1,25.0,37.8
Zacatecas,MEX-2713,1.2,87.6,0.8,27.0,91.9