State,EstPopOver18,MurderRate,AbductionRate,CrimeRate,SecPercep
Aguascalientes,1000000,24.9,0.2,45.3,49.7
Baja California,2800000,93.5,0.4,31.2,68.5
Baja California Sur,600000,18.5,0.2,25.7,33.4
Campeche,800000,27.0,0.3,31.8,61.6
Chiapas,4300000,29.7,0.4,16.0,68.1
Chihuahua,2900000,71.4,1.7,29.1,78.1
Coahuila de Zaragoza,2400000,17.0,0.1,24.7,44.1
Colima,600000,156.0,0.8,28.5,80.9
Distrito Federal,6900000,21.3,0.5,52.7,80.1
Durango,1300000,22.4,0.0,18.2,51.7
Guanajuato,4700000,77.4,0.1,26.6,82.9
Guerrero,2700000,67.5,0.5,24.0,76.7
Hidalgo,2300000,16.5,0.7,26.9,63
Jalisco,6400000,39.0,0.3,31.7,78.7
México,12800000,29.3,0.5,51.9,88
Michoacán de Ocampo,3600000,74.4,0.6,19.7,80.8
Morelos,1500000,106.3,2.1,36.3,87
Nayarit,1000000,36.6,0.5,23.6,46.2
Nuevo León,4400000,44.2,1.9,28.2,67
Oaxaca,3100000,66.5,0.8,18.6,74.4
Puebla,4900000,25.1,0.3,38.6,78.3
Querétaro,1800000,29.9,0.7,40.8,54.5
Quintana Roo,1400000,114.0,0.3,30.3,78.1
San Luis Potosí,2100000,35.2,0.4,31.8,76.5
Sinaloa,2300000,50.0,0.2,30.0,62.5
Sonora,2200000,63.0,0.7,37.6,76.2
Tabasco,1900000,37.8,0.6,38.0,78.2
Tamaulipas,2700000,41.2,0.6,25.1,74.9
Tlaxcala,1000000,14.1,0.2,28.6,62.4
Veracruz de Ignacio de la Llave,6100000,29.7,0.5,20.3,81.4
Yucatán,1700000,9.7,0.0,25.0,37.8
Zacatecas,1200000,87.6,0.8,27.0,91.9